"Titre de tracé : 20598412_B_15"
"#","Date Heure, GMT+00:00","Pres. abs., Pa (LGR S/N: 20598412, SEN S/N: 20598412, LBL: Pressure)","Temp., °C (LGR S/N: 20598412, SEN S/N: 20598412, LBL: Temperature)","Coupleur détaché (LGR S/N: 20598412)","Fin de fichier (LGR S/N: 20598412)"
1,06.06.25 08:00:00 AM,345792,4.415,Enregistré,
2,06.06.25 08:15:00 AM,345792,4.415,,
3,06.06.25 08:30:00 AM,345848,4.415,,
4,06.06.25 08:45:00 AM,345792,4.415,,
5,06.06.25 09:00:00 AM,345800,4.519,,
6,06.06.25 09:15:00 AM,345856,4.519,,
7,06.06.25 09:30:00 AM,345856,4.519,,
8,06.06.25 09:45:00 AM,345800,4.519,,
9,06.06.25 10:00:00 AM,345856,4.519,,
10,06.06.25 10:15:00 AM,345856,4.519,,
11,06.06.25 10:30:00 AM,345856,4.519,,
12,06.06.25 10:45:00 AM,345856,4.519,,
13,06.06.25 11:00:00 AM,345800,4.519,,
14,06.06.25 11:15:00 AM,345792,4.415,,
15,06.06.25 11:30:00 AM,345856,4.519,,
16,06.06.25 11:45:00 AM,345856,4.519,,
17,06.06.25 12:00:00 PM,345856,4.519,,
18,06.06.25 12:15:00 PM,345800,4.519,,
19,06.06.25 12:30:00 PM,345856,4.519,,
20,06.06.25 12:45:00 PM,345792,4.415,,
21,06.06.25 01:00:00 PM,345792,4.415,,
22,06.06.25 01:15:00 PM,345848,4.415,,
23,06.06.25 01:30:00 PM,345792,4.415,,
24,06.06.25 01:45:00 PM,345680,4.415,,
25,06.06.25 02:00:00 PM,345736,4.415,,
26,06.06.25 02:15:00 PM,345792,4.415,,
27,06.06.25 02:30:00 PM,345736,4.415,,
28,06.06.25 02:45:00 PM,345792,4.415,,
29,06.06.25 03:00:00 PM,345736,4.415,,
30,06.06.25 03:15:00 PM,345792,4.415,,
31,06.06.25 03:30:00 PM,345736,4.415,,
32,06.06.25 03:45:00 PM,345736,4.415,,
33,06.06.25 04:00:00 PM,345736,4.415,,
34,06.06.25 04:15:00 PM,345680,4.415,,
35,06.06.25 04:30:00 PM,345744,4.519,,
36,06.06.25 04:45:00 PM,345744,4.519,,
37,06.06.25 05:00:00 PM,345800,4.519,,
38,06.06.25 05:15:00 PM,345744,4.519,,
39,06.06.25 05:30:00 PM,345800,4.519,,
40,06.06.25 05:45:00 PM,345856,4.519,,
41,06.06.25 06:00:00 PM,345792,4.415,,
42,06.06.25 06:15:00 PM,345848,4.415,,
43,06.06.25 06:30:00 PM,345848,4.415,,
44,06.06.25 06:45:00 PM,345792,4.415,,
45,06.06.25 07:00:00 PM,345848,4.415,,
46,06.06.25 07:15:00 PM,345848,4.415,,
47,06.06.25 07:30:00 PM,345800,4.519,,
48,06.06.25 07:45:00 PM,345800,4.519,,
49,06.06.25 08:00:00 PM,345800,4.519,,
50,06.06.25 08:15:00 PM,345744,4.519,,
51,06.06.25 08:30:00 PM,345744,4.519,,
52,06.06.25 08:45:00 PM,345792,4.415,,
53,06.06.25 09:00:00 PM,345744,4.519,,
54,06.06.25 09:15:00 PM,345632,4.519,,
55,06.06.25 09:30:00 PM,345744,4.519,,
56,06.06.25 09:45:00 PM,345688,4.519,,
57,06.06.25 10:00:00 PM,345688,4.519,,
58,06.06.25 10:15:00 PM,345688,4.519,,
59,06.06.25 10:30:00 PM,345688,4.519,,
60,06.06.25 10:45:00 PM,345688,4.519,,
61,06.06.25 11:00:00 PM,345688,4.519,,
62,06.06.25 11:15:00 PM,345632,4.519,,
63,06.06.25 11:30:00 PM,345688,4.519,,
64,06.06.25 11:45:00 PM,345800,4.519,,
