"Titre de tracé : 20598413_A_14"
"#","Date Heure, GMT+00:00","Pres. abs., Pa (LGR S/N: 20598413, SEN S/N: 20598413, LBL: Pressure)","Temp., °C (LGR S/N: 20598413, SEN S/N: 20598413, LBL: Temperature)","Coupleur détaché (LGR S/N: 20598413)","Fin de fichier (LGR S/N: 20598413)"
1,06.06.25 08:00:00 AM,227289,6.166,Enregistré,
2,06.06.25 08:15:00 AM,227300,6.370,,
3,06.06.25 08:30:00 AM,227311,6.573,,
4,06.06.25 08:45:00 AM,227305,6.471,,
5,06.06.25 09:00:00 AM,227300,6.370,,
6,06.06.25 09:15:00 AM,227294,6.268,,
7,06.06.25 09:30:00 AM,227289,6.166,,
8,06.06.25 09:45:00 AM,227289,6.166,,
9,06.06.25 10:00:00 AM,227289,6.166,,
10,06.06.25 10:15:00 AM,227231,6.268,,
11,06.06.25 10:30:00 AM,227237,6.370,,
12,06.06.25 10:45:00 AM,227300,6.370,,
13,06.06.25 11:00:00 AM,227300,6.370,,
14,06.06.25 11:15:00 AM,227300,6.370,,
15,06.06.25 11:30:00 AM,227300,6.370,,
16,06.06.25 11:45:00 AM,227300,6.370,,
17,06.06.25 12:00:00 PM,227300,6.370,,
18,06.06.25 12:15:00 PM,227300,6.370,,
19,06.06.25 12:30:00 PM,227248,6.573,,
20,06.06.25 12:45:00 PM,227327,6.877,,
21,06.06.25 01:00:00 PM,227196,6.775,,
22,06.06.25 01:15:00 PM,227248,6.573,,
23,06.06.25 01:30:00 PM,227242,6.471,,
24,06.06.25 01:45:00 PM,227122,6.573,,
25,06.06.25 02:00:00 PM,227180,6.471,,
26,06.06.25 02:15:00 PM,227196,6.775,,
27,06.06.25 02:30:00 PM,227133,6.775,,
28,06.06.25 02:45:00 PM,227242,6.471,,
29,06.06.25 03:00:00 PM,227180,6.471,,
30,06.06.25 03:15:00 PM,227174,6.370,,
31,06.06.25 03:30:00 PM,227231,6.268,,
32,06.06.25 03:45:00 PM,227231,6.268,,
33,06.06.25 04:00:00 PM,227231,6.268,,
34,06.06.25 04:15:00 PM,227226,6.166,,
35,06.06.25 04:30:00 PM,227289,6.166,,
36,06.06.25 04:45:00 PM,227294,6.268,,
37,06.06.25 05:00:00 PM,227305,6.471,,
38,06.06.25 05:15:00 PM,227362,6.370,,
39,06.06.25 05:30:00 PM,227373,6.573,,
40,06.06.25 05:45:00 PM,227373,6.573,,
41,06.06.25 06:00:00 PM,227300,6.370,,
42,06.06.25 06:15:00 PM,227362,6.370,,
43,06.06.25 06:30:00 PM,227351,6.166,,
44,06.06.25 06:45:00 PM,227294,6.268,,
45,06.06.25 07:00:00 PM,227300,6.370,,
46,06.06.25 07:15:00 PM,227316,6.674,,
47,06.06.25 07:30:00 PM,227311,6.573,,
48,06.06.25 07:45:00 PM,227305,6.471,,
49,06.06.25 08:00:00 PM,227294,6.268,,
50,06.06.25 08:15:00 PM,227300,6.370,,
51,06.06.25 08:30:00 PM,227305,6.471,,
52,06.06.25 08:45:00 PM,227237,6.370,,
53,06.06.25 09:00:00 PM,227248,6.573,,
54,06.06.25 09:15:00 PM,227248,6.573,,
55,06.06.25 09:30:00 PM,227185,6.573,,
56,06.06.25 09:45:00 PM,227248,6.573,,
57,06.06.25 10:00:00 PM,227185,6.573,,
58,06.06.25 10:15:00 PM,227248,6.573,,
59,06.06.25 10:30:00 PM,227242,6.471,,
60,06.06.25 10:45:00 PM,227248,6.573,,
61,06.06.25 11:00:00 PM,227191,6.674,,
62,06.06.25 11:15:00 PM,227248,6.573,,
63,06.06.25 11:30:00 PM,227185,6.573,,
64,06.06.25 11:45:00 PM,227253,6.674,,
65,06.07.25 12:00:00 AM,227630,6.674,,
66,06.07.25 12:15:00 AM,227567,6.674,,
67,06.07.25 12:30:00 AM,227504,6.674,,
68,06.07.25 12:45:00 AM,227567,6.674,,
69,06.07.25 01:00:00 AM,227493,6.471,,
70,06.07.25 01:15:00 AM,227534,6.064,,
71,06.07.25 01:30:00 AM,227523,5.860,,
72,06.07.25 01:45:00 AM,227529,5.962,,
73,06.07.25 02:00:00 AM,227482,6.268,,
74,06.07.25 02:15:00 AM,227567,6.674,,
75,06.07.25 02:30:00 AM,227567,6.674,,
76,06.07.25 02:45:00 AM,227556,6.471,,
77,06.07.25 03:00:00 AM,227567,6.674,,
78,06.07.25 03:15:00 AM,227504,6.674,,
79,06.07.25 03:30:00 AM,227488,6.370,,
80,06.07.25 03:45:00 AM,227452,6.877,,
81,06.07.25 04:00:00 AM,227510,6.775,,
82,06.07.25 04:15:00 AM,227613,6.370,,
83,06.07.25 04:30:00 AM,227562,6.573,,
84,06.07.25 04:45:00 AM,227499,6.573,,
85,06.07.25 05:00:00 AM,227573,6.775,,
86,06.07.25 05:15:00 AM,227698,6.775,,
87,06.07.25 05:30:00 AM,227567,6.674,,
88,06.07.25 05:45:00 AM,227551,6.370,,
89,06.07.25 06:00:00 AM,227545,6.268,,
90,06.07.25 06:15:00 AM,227540,6.166,,
91,06.07.25 06:30:00 AM,227540,6.166,,
92,06.07.25 06:45:00 AM,227603,6.166,,
93,06.07.25 07:00:00 AM,227551,6.370,,
94,06.07.25 07:15:00 AM,227488,6.370,,
95,06.07.25 07:30:00 AM,227420,6.268,,
96,06.07.25 07:45:00 AM,227436,6.573,,
97,06.07.25 08:00:00 AM,227499,6.573,,
